site,category,section,product_id,title,price,image_url,product_url
Rainbow,GROCERY,SUGAR,1959438,Sugar,179.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709122096.png,
Rainbow,GROCERY,SUGAR,1959439,Moiz Food Sugar Crystal White,1025.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709099814.jpg,
Rainbow,GROCERY,SUGAR,1959440,Moiz Food Sugar Crystal White,410.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709099905.jpg,
Rainbow,GROCERY,SUGAR,1959441,Moiz Food Sugar Crystal White,205.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709099954.jpg,
Rainbow,GROCERY,SUGAR,2063582,Sugarie Brown Sugar Granulated,399.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SUGARIE%20BROWN%20SUGAR%20GRANULATED%201KG.png,
Rainbow,GROCERY,SUGAR,2063584,Sugarie Brown Sugar Powder,399.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SUGARIE%20BROWN%20SUGAR%20POWDER%201KG.png,
Rainbow,GROCERY,SUGAR,2063585,Sugarie Brown Sugar Powder,155.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SUGARIE%20BROWN%20SUGAR%20POWDER%20300GM.png,
Rainbow,GROCERY,SUGAR,2063586,Sugarie Brown Sugar Powder,215.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SUGARIE%20BROWN%20SUGAR%20POWDER%20500GM.png,
Rainbow,GROCERY,SUGAR,2063576,Grans Desi Shakar Crushed Gurr & Jaggery,385.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/GRANS%20DESI%20SHAKAR%20CRUSHED%20GURR%20&%20JAGGERY%20500G.png,
Rainbow,GROCERY,SUGAR,2063583,Sugarie Brown Sugar Granulated,215.0,https://g-cdn.blinkco.io/ordering-system/55544/dish_image/1735804521.png,
Rainbow,GROCERY,SUGAR,2063573,Chashnik Sugar White Refined,225.0,https://g-cdn.blinkco.io/ordering-system/55544/dish_image/1742892269625.png,
Rainbow,GROCERY,SUGAR,2265611,Shakar,259.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709098830.png,
Rainbow,GROCERY,SUGAR,2063572,Chashnik Brown Sugar Granulated,169.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/CHASHNIK%20BROWN%20SUGAR%20GRANULATED%20500gm.png,
Rainbow,GROCERY,OIL & GHEE,2145806,Mundial Olive Oil Extra Virgin Bottle,2690.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20EXTRA%20VIRGIN250ML.png,
Rainbow,GROCERY,OIL & GHEE,2145807,Mundial Olive Oil Pomace Bottle,2690.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20BOTTLE1LTR.png,
Rainbow,GROCERY,OIL & GHEE,2145808,Mundial Olive Oil Pomace Bottle,940.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20BOTTLE250ML.png,
Rainbow,GROCERY,OIL & GHEE,2145809,Mundial Olive Oil Pomace Bottle,1440.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20BOTTLE500M.png,
Rainbow,GROCERY,OIL & GHEE,2145810,Mundial Olive Oil Pomace Tin,560.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20TIN1LTR.png,
Rainbow,GROCERY,OIL & GHEE,2145811,Mundial Olive Oil Pomace Tin,720.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20TIN125ML.png,
Rainbow,GROCERY,OIL & GHEE,2145812,Mundial Olive Oil Pomace Tin,2790.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20TIN175ML.png,
Rainbow,GROCERY,OIL & GHEE,2145813,Mundial Olive Oil Pomace Tin,1440.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20POMACE%20TIN400ML.png,
Rainbow,GROCERY,OIL & GHEE,2145814,Sasso Olive Oil Bottle,3190.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SASSO%20OLIVE%20OIL%20BOTTLE500ML.png,
Rainbow,GROCERY,OIL & GHEE,2145815,Sasso Olive Oil Tin,790.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SASSO%20OLIVE%20OIL%20TIN100ML.png,
Rainbow,GROCERY,OIL & GHEE,2145816,Sasso Olive Oil Tin,6190.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SASSO%20OLIVE%20OIL%20TIN1LTR.png,
Rainbow,GROCERY,OIL & GHEE,2145817,Sasso Olive Oil Tin,1340.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SASSO%20OLIVE%20OIL%20TIN200ML.png,
Rainbow,GROCERY,OIL & GHEE,2145818,Sasso Olive Oil Tin,2440.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SASSO%20OLIVE%20OIL%20TIN%20400ML.png,
Rainbow,GROCERY,OIL & GHEE,2145819,Shahtaj Canola Oil Noz,515.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SHAHTAJ%20CANOLA%20OIL%20NOZ1LTR%20.png,
Rainbow,GROCERY,OIL & GHEE,2145796,Dewdrop Olive Oil Pomace Smooth&Light,6475.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DEWDROP%20OLIVE%20OIL%20EXTRA%20VIRGIN%20250ML.png,
Rainbow,GROCERY,OIL & GHEE,2186848,Shahtaj Banaspati Ghee Pb,509.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/Shahtaj%20Banaspati%20Ghee%201Kg%20Pb.png,
Rainbow,GROCERY,OIL & GHEE,2265676,Mundial Olive Oil Pomace Tin,8899.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/bahria-town-rawalpindi-btr/8411356775825-4443467d-7aa5-4fbb-a25c-c59c6a534e00.octet-stream,
Rainbow,GROCERY,OIL & GHEE,2265678,Rafhan Corn Oil Tin,8449.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/bahria-town-rawalpindi-btr/8961014004960-f1b33a58-425d-4110-9ec4-dbcf69718551.octet-stream,
Rainbow,GROCERY,OIL & GHEE,2265679,Dalda Olive Oil Pomace Tin,8694.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/bahria-town-rawalpindi-btr/8961100500840-f401ebd1-df3a-43b1-94e1-d86a852e32b8.octet-stream,
Rainbow,GROCERY,OIL & GHEE,2265677,Mundial Olive Oil Pomace Tin,7290.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/bahria-town-rawalpindi-btr/8411356775894-60bc25f3-0112-4369-8ea0-0785d91c531f.octet-stream,
Rainbow,GROCERY,OIL & GHEE,2265681,Dalda Cooking Oil Can,5698.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,2265682,Dalda Canola Oil Can,9114.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,2145801,Kashmir Cooking Oil Premium Gold Noz,569.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/KASHMIR%20COOKING%20OIL%20PREMIUM%20GOLD%20NOZ%201LTR.png,
Rainbow,GROCERY,OIL & GHEE,1953623,Dalda Banaspati,564.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,OIL & GHEE,2265706,Olivola Oil Bottle,1759.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/bahria-town-rawalpindi-btr/product/8964000612521-1683970091481.jpg,
Rainbow,GROCERY,OIL & GHEE,1953671,Mezan Royal Cooking Oil Noz,534.0,https://em-cdn.eatmubarak.pk/55544/gallery/MEZAN%20ROYAL%20COOKING%20OIL%201LTR%20NOZ.png,
Rainbow,GROCERY,OIL & GHEE,2265705,Olivola Cooking Oil Noz Pb,574.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/bahria-town-rawalpindi-btr/8964000612484-a6cdc8a7-cb0a-49cc-aaa2-ff485f9acc00.octet-stream,
Rainbow,GROCERY,OIL & GHEE,1953657,Kashmir Banaspati Bkt,1464.0,https://em-cdn.eatmubarak.pk/55544/gallery/KASHMIR%20BANASPATI%202.5KG%20BKT.png,
Rainbow,GROCERY,OIL & GHEE,1953688,Sufi Canola Cooking Oil,1149.0,https://em-cdn.eatmubarak.pk/55544/gallery/SUFI%20CANOLA%20COOKING%20OIL%201.8LTR.png,
Rainbow,GROCERY,OIL & GHEE,1953656,Kashmir Banaspati Pb,574.0,https://em-cdn.eatmubarak.pk/55544/gallery/KASHMIR%20BANASPATI%201KG%20PB.png,
Rainbow,GROCERY,OIL & GHEE,2061692,Marhaba Olive Oil,509.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MARHABA%20OLIVE%20OIL%20100ML.png,
Rainbow,GROCERY,OIL & GHEE,2061693,Marhaba Olive Oil,139.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MARHABA%20OLIVE%20OIL%2025ML.png,
Rainbow,GROCERY,OIL & GHEE,2061694,Marhaba Olive Oil,274.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MARHABA%20OLIVE%20OIL%2050ML.png,
Rainbow,GROCERY,OIL & GHEE,2061697,Mundial Olive Oil Pure Tin,719.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUNDIAL%20OLIVE%20OIL%20PURE%20TIN%20%20125ML.png,
Rainbow,GROCERY,OIL & GHEE,2065766,Canolive Oil Bottle,2719.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/CANOLIVE%20OIL%20%20BOTTLE%204.5LTR.png,
Rainbow,GROCERY,OIL & GHEE,1953624,Dalda Canola Oil,584.0,https://em-cdn.eatmubarak.pk/55544/gallery/NOC.png,
