site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,ml_predicted_score,product_cluster
Naheed,"Fresh Street Salted Butter Portions, 8g Each, 10-Pack",575.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292189-1.jpg,https://www.naheed.pk/fresh-street-salted-butter-portions-8g-each-10-pack,8.0,g,0,8.0,no-pack,71.875,PKR/g,575.0,16.402306066185734,Poor,35.57692307692308,0.7246809755789103,4,16.379423341500893,0
Naheed,"Fresh Street Un-Salted Butter Portions, 8g Each, 10-Pack",575.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292188-1.jpg,https://www.naheed.pk/fresh-street-un-salted-butter-portions-8g-each-10-pack,8.0,g,0,8.0,no-pack,71.875,PKR/g,575.0,16.402306066185734,Poor,35.57692307692308,0.7246809755789103,4,16.379423341500893,0
Naheed,"Fresh Street Un-Salted Butter, 200g",720.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292186-1.jpg,https://www.naheed.pk/fresh-street-un-salted-butter-200g,200.0,g,0,200.0,no-pack,3.6,PKR/g,720.0,19.65118946746557,Poor,47.11538461538461,16.058427940316967,4,19.758826847672456,0
Naheed,"Fresh Street Salted Butter, 200g",720.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292185-1.jpg,https://www.naheed.pk/fresh-street-salted-butter-200g,200.0,g,0,200.0,no-pack,3.6,PKR/g,720.0,19.65118946746557,Poor,47.11538461538461,16.058427940316967,4,19.758826847672456,0
Naheed,"Fresh Street Salted Un-Salted Butter, 100g",380.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292184-1.jpg,https://www.naheed.pk/fresh-street-salted-un-salted-butter-100g,100.0,g,0,100.0,no-pack,3.8,PKR/g,380.0,25.080591573445858,Poor,24.03846153846154,15.208856282190764,4,25.13791078658919,0
Naheed,"Young's Peanut Butter Creamy, 450g",995.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292919-1.jpg,https://www.naheed.pk/young-s-peanut-butter-creamy-450gm,450.0,g,0,450.0,no-pack,2.2111111111111112,PKR/g,995.0,19.94083123098619,Poor,62.17948717948718,26.197596451682614,4,19.991972634893973,0
Naheed,"Fresh Street Garlic & Herbs Butter Portions, 10g Each, 10-Pack",1210.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1291541-1.jpg,https://www.naheed.pk/fresh-street-garlic-herbs-butter-portions-10g-each-10-pack,10.0,g,0,10.0,no-pack,121.0,PKR/g,1210.0,7.21651488161214,Poor,71.7948717948718,0.3964209628628764,4,7.2638815815525595,0
Naheed,"Fresh Street Salted Butter, 100g",380.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292183-1.jpg,https://www.naheed.pk/fresh-street-salted-butter-100g,100.0,g,0,100.0,no-pack,3.8,PKR/g,380.0,25.080591573445858,Poor,24.03846153846154,15.208856282190764,4,25.13791078658919,0
Naheed,"Dairy Life Salted Pure Butter, 200g",690.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/c/ic-1073164-1.jpg,https://www.naheed.pk/dairy-life-salted-pure-butter-200g,200.0,g,0,200.0,no-pack,3.45,PKR/g,690.0,20.49281418008357,Poor,44.871794871794876,16.760246132118375,4,20.506376861367713,0
Naheed,"Dairy Life Salted Pure Butter, 100g",370.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/c/ic-1068698-1.jpg,https://www.naheed.pk/dairy-life-salted-pure-butter-100g,100.0,g,0,100.0,no-pack,3.7,PKR/g,370.0,25.646554775591312,Poor,22.435897435897438,15.62216172345183,4,25.751800806589348,0
