site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_volume_ml,normalized_weight_g,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,total_size,price_per_size,pack_efficiency,ml_predicted_score
Naheed,"Dalda Fortified Cooking Oil Pouch, 1 Litre",585.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1041092-1.jpg,https://www.naheed.pk/dalda-fortified-cooking-oil-pouch-1-litre,1.0,l,0,1000.0,1000.0,no-pack,0.585,PKR/ml,585.0,87.55162241887905,Excellent,23.156342182890853,77.55162241887905,2,2000.0,0.2925,1.0,87.55162241887892
Naheed,Soya Supreme Cooking Oil 1 Litre Pouch,590.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1039907-1.jpg,https://www.naheed.pk/soya-supreme-cooking-oil-1-litre-pouch,1.0,l,0,1000.0,1000.0,no-pack,0.59,PKR/ml,590.0,84.86725663716814,Excellent,24.778761061946902,74.86725663716814,2,2000.0,0.295,1.0,84.80983662355335
Naheed,Eva Canola Oil 1 Litre Pouch,605.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/c/a/canola_pouch_copy.jpg,https://www.naheed.pk/eva-canola-oil-1-litre-pouch,1.0,l,0,1000.0,1000.0,no-pack,0.605,PKR/ml,605.0,80.0589970501475,Excellent,26.40117994100295,70.0589970501475,2,2000.0,0.3025,1.0,79.97704031465102
Naheed,Eva Cooking Oil 1 Litre Pouch,589.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/p/o/pouch_copy.jpg,https://www.naheed.pk/eva-cooking-oil-1-litre-pouch,1.0,l,0,1000.0,1000.0,no-pack,0.589,PKR/ml,589.0,85.7227138643068,Excellent,24.188790560471976,75.7227138643068,2,2000.0,0.2945,1.0,85.32167044852875
Naheed,Maybelline New York Colossal Kajal Argan Oil 12H Extra Black,999.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/a/r/arganoilkajal01.jpg,https://www.naheed.pk/maybelline-new-york-colossal-kajal-argan-oil-12h-extra-black,,,0,0.0,0.0,no-size-no-pack,999.0,,999.0,28.554572271386437,Poor,34.80825958702065,28.554572271386437,2,0.0,999.0,1.0,
Naheed,Canolive Premium Canola and Sunflower Oil 1 Litre Standy Pouch,694.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1038238-1.jpg,https://www.naheed.pk/canolive-premium-canola-and-sunflower-oil-1-litre-standy-pouch,1.0,l,0,1000.0,1000.0,no-pack,0.694,PKR/ml,694.0,75.13274336283186,Excellent,29.20353982300885,65.13274336283186,2,2000.0,0.347,1.0,75.09979351032455
Naheed,"Clean & Clear Essentials Foaming Face Wash, Oil Free, 100ml",600.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/0/9/09_8850007650843_clean-_-clear-essential-face-wash-100ml_01jpg02.jpg,https://www.naheed.pk/clean-clear-essentials-foaming-face-wash-oil-free-100ml,100.0,ml,0,100.0,100.0,no-pack,6.0,PKR/ml,600.0,44.660766961651916,Fair,25.958702064896755,44.660766961651916,2,200.0,3.0,1.0,44.00029498525073
Naheed,Dalda Fortified Canola Oil 1 Litre Pouch,585.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1037930-1.jpg,https://www.naheed.pk/dalda-fortified-canola-oil-1-litre-pouch,1.0,l,0,1000.0,1000.0,no-pack,0.585,PKR/ml,585.0,87.55162241887905,Excellent,23.156342182890853,77.55162241887905,2,2000.0,0.2925,1.0,87.55162241887892
Naheed,"L'Oreal Paris Elvive Extraordinary Oil Hair Serum, All Hair Types, 30ml",1469.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/n/n/nn1230552-1.jpg,https://www.naheed.pk/l-oreal-paris-elvive-extraordinary-oil-hair-serum-all-hair-types-30ml,30.0,ml,0,30.0,30.0,no-pack,48.96666666666667,PKR/ml,1469.0,30.383480825958706,Poor,40.41297935103245,30.383480825958706,2,60.0,24.483333333333334,1.0,27.48318584070793
Naheed,"L'Oreal Paris 6 Oil Nourish Scalp + Hair Nourishing Conditioner, For All Hair Types, 175ml",540.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/6/o/6oilconditioner_1.jpg,https://www.naheed.pk/l-oreal-paris-6-oil-nourish-scalp-hair-nourishing-conditioner-for-all-hair-types-175ml,175.0,ml,0,175.0,175.0,no-pack,3.085714285714286,PKR/ml,540.0,57.522123893805315,Good,15.04424778761062,57.522123893805315,2,350.0,1.542857142857143,1.0,58.143152479280836
