site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price
Naheed,"Nestle Nescafe 3in1 Coffee, 20g",70.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1035399-10.jpg,https://www.naheed.pk/nestle-nescafe-3in1-coffee-20g,20.0,g,0,20.0,no-pack,3.5,PKR/g,70.0
Naheed,"Nescafe Classic Instant Coffee Sachet, 1.5g",30.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1031488-junerpl-1.jpg,https://www.naheed.pk/nescafe-classic-instant-coffee-sachet-1-5g,1.5,g,0,1.5,no-pack,20.0,PKR/g,30.0
Naheed,"Nestle Nescafe Classic Coffee, 50g",950.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1033821-junerpl-1.jpg,https://www.naheed.pk/nestle-nescafe-classic-coffee-50g,50.0,g,0,50.0,no-pack,19.0,PKR/g,950.0
Naheed,"Nestle Nescafe Instant Coffee Choco Hazelnut Ice, 25g",85.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1131891-new-1.jpg,https://www.naheed.pk/nestle-nescafe-instant-coffee-choco-hazelnut-ice-23g,25.0,g,0,25.0,no-pack,3.4,PKR/g,85.0
Alfatah,INDOCAFE COFFEE ORIGINAL BLEND 50 GM,675.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/9311931082036_1.jpg?v=1710748376,https://alfatah.pk/products/indocafe-coffee-original-blend-50-gm,50.0,g,0,50.0,no-pack,13.5,PKR/g,675.0
Alfatah,KLASSNO COFFEE GOLD DRIED PREMIUM BEANS 200 GM,3295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000462413_fbda4804-3696-4cb4-945e-f490ade162ae.jpg?v=1755781389,https://alfatah.pk/products/klassno-coffee-gold-dried-premium-beans-200-gm,200.0,g,0,200.0,no-pack,16.475,PKR/g,3295.0
Alfatah,MOVENPICK COFFEE DECAFFEINATO ESPRESSO 55 GM,1695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/7640126171210_6ca3c6ec-e887-42e5-98c3-cd4d1b324720.jpg?v=1735996734,https://alfatah.pk/products/movenpick-coffee-decaffeinato-espresso-55-gm,55.0,g,0,55.0,no-pack,30.818181818181817,PKR/g,1695.0
Alfatah,NESCAFE COFFEE 3IN1 SACHET 20 GM,70.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T112105.650.png?v=1749622874,https://alfatah.pk/products/nescafe-coffee-3in1-sachet-25gm,20.0,g,0,20.0,no-pack,3.5,PKR/g,70.0
Alfatah,NESCAFE COFFEE CLASSIC ORIGINAL 200 GM,3845.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T103735.832.png?v=1749620272,https://alfatah.pk/products/nescafe-coffee-classic-company-200-gm,200.0,g,0,200.0,no-pack,19.225,PKR/g,3845.0
Alfatah,INDOCAFE COFFEE ORIGINAL BLEND POUCH 50X2 GM,1175.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9311931182019_1b631b5b-4aa3-420b-8812-b019e5b07b4a.jpg?v=1738841936,https://alfatah.pk/products/indocafe-coffee-original-blend-pouch-50x2-gm,2.0,g,0,2.0,no-pack,587.5,PKR/g,1175.0
