site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,brand,category,brand_category,unit_price,unit_price_unit,per_unit_price
Naheed,Young's Honey 240gm,630.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1001564-1.jpg,https://www.naheed.pk/young-s-honey-240gm,240.0,g,0,240.0,no-pack,Youngs,Grocery,Youngs_Grocery,2.625,PKR/g,630.0
Naheed,Langnese Honey 250gm,1550.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1000463-1.jpg,https://www.naheed.pk/langnese-honey-250gm,250.0,g,0,250.0,no-pack,Langnese,Grocery,Langnese_Grocery,6.2,PKR/g,1550.0
Naheed,Langnese Honey 500gm,2799.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1000464-1.jpg,https://www.naheed.pk/langnese-honey-500gm,500.0,g,0,500.0,no-pack,Langnese,Grocery,Langnese_Grocery,5.598,PKR/g,2799.0
Naheed,Al-Shifa Honey 500gm,2799.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1001566-1.jpg,https://www.naheed.pk/al-shifa-honey-500gm,500.0,g,0,500.0,no-pack,Al-Shifa,Grocery,Al-Shifa_Grocery,5.598,PKR/g,2799.0
Naheed,Al-Shifa Honey 1kg,,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1001567-1.jpg,https://www.naheed.pk/al-shifa-honey-1kg,1.0,kg,0,1000.0,no-pack,Al-Shifa,Grocery,Al-Shifa_Grocery,,,
Alfatah,MARHABA HONEY 80 GM,165.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000057025_2a7856b4-68d3-4cf7-8123-40f42235e7b2.jpg?v=1726135429,https://alfatah.pk/products/marhaba-honey-80-gm,80.0,g,0,80.0,no-pack,Marhaba,Grocery,Marhaba_Grocery,2.0625,PKR/g,165.0
Alfatah,NATURE NECTAR EUCALYPTUS HONEY 130GM,460.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/Untitled_c680fa55-3f73-431d-b101-4039bba1d580.png?v=1700517621,https://alfatah.pk/products/nature-nectar-eucalyptus-honey-130gm,130.0,g,0,130.0,no-pack,Nature,Grocery,Nature_Grocery,3.5384615384615383,PKR/g,460.0
Alfatah,GRANS AJWAIN HONEY 400 GM,1000.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/WhatsApp-Image-2020-11-18-at-5.48.37-PM.jpg?v=1700517658,https://alfatah.pk/products/grans-ajwain-honey-400-gm,400.0,g,0,400.0,no-pack,Grans,Grocery,Grans_Grocery,2.5,PKR/g,1000.0
Alfatah,YOUNGS BEE HIVES HONEY NATURAL 250 GM,595.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000061848.jpg?v=1690229961,https://alfatah.pk/products/youngs-bee-hives-honey-natural-250-gm,250.0,g,0,250.0,no-pack,Youngs,Grocery,Youngs_Grocery,2.38,PKR/g,595.0
Alfatah,LIFE STYLE HONEY JAR 1000 GM,1440.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000014851.jpg?v=1690219048,https://alfatah.pk/products/life-style-honey-jar-1000-gm,1000.0,g,0,1000.0,no-pack,Life,Grocery,Life_Grocery,1.44,PKR/g,1440.0
Alfatah,NATURE NECTAR ACAIA HONEY 125 GM,470.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/NewProject-2023-05-01T120356.382.png?v=1704876776,https://alfatah.pk/products/nature-nectar-acaia-honey-125-gm,125.0,g,0,125.0,no-pack,Nature,Grocery,Nature_Grocery,3.76,PKR/g,470.0
Alfatah,LIFE STYLE HONEY JAR GLASS 500 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000014257_9d894127-723a-4808-ab73-06c78a810314.jpg?v=1690219050,https://alfatah.pk/products/life-style-honey-jar-glass-500-gm,500.0,g,0,500.0,no-pack,Life,Grocery,Life_Grocery,1.49,PKR/g,745.0
