site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price
Alfatah,SHEZAN APPLE JAM 1.8 KG,1045.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_18_92a25f47-188f-458d-aeb0-43d00377e0b9.png?v=1750227840,https://alfatah.pk/products/shezan-apple-jam-1-8-kg,1.8,kg,0,1800.0,no-pack,0.5805555555555556,PKR/g,1045.0
Alfatah,SHEZAN JAM APPLE 370 GM,275.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/products/5078643001222_1_ba08bed6-b3f5-4d55-b399-7670d2638ffb.jpg?v=1704746200,https://alfatah.pk/products/shezan-jam-apple-440-gm,370.0,g,0,370.0,no-pack,0.7432432432432432,PKR/g,275.0
Alfatah,SHEZAN MANGO JAM 1.8 KG,1045.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_13_b6078d50-e993-4eaa-b640-845e0c88a382.png?v=1750227365,https://alfatah.pk/products/shezan-mango-jam-1-8-kg,1.8,kg,0,1800.0,no-pack,0.5805555555555556,PKR/g,1045.0
Alfatah,FRUIT TREE JAM PINEAPPLE 450 GM,1245.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008445094.jpg?v=1690215152,https://alfatah.pk/products/fruit-tree-jam-pineapple-450-gm,450.0,g,0,450.0,no-pack,2.7666666666666666,PKR/g,1245.0
Alfatah,SALMANS JAM MANGO 900 GM,545.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_51_b60eb467-9983-4983-a163-a2ab4300af40.png?v=1744625539,https://alfatah.pk/products/salmans-jam-mango-900-gm,900.0,g,0,900.0,no-pack,0.6055555555555555,PKR/g,545.0
Alfatah,SALMAN JAM APRICOT 450 GM,385.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000034026.jpg?v=1690225711,https://alfatah.pk/products/salman-jam-apricot-450-gm,450.0,g,0,450.0,no-pack,0.8555555555555555,PKR/g,385.0
Alfatah,SALMAN JAM STRAWBERRY 900 GM,645.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/grocerapp-salman-strawbery-jam-5f59bb1566980.jpg?v=1703105304,https://alfatah.pk/products/salman-jam-strawberry-900-gm,900.0,g,0,900.0,no-pack,0.7166666666666667,PKR/g,645.0
Alfatah,MITCHELLS JAM BLACKCURRANT 300 GM,430.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_4_0b13d6cb-189e-4bb0-a9a9-ba4f40f48be8.png?v=1749894711,https://alfatah.pk/products/mitchells-jam-blackcurrant-340-gm,300.0,g,0,300.0,no-pack,1.4333333333333333,PKR/g,430.0
Alfatah,SALMAN JAM CHERRY 900 GM,645.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000034194_1.jpg?v=1709710176,https://alfatah.pk/products/salman-jam-cherry-900-gm,900.0,g,0,900.0,no-pack,0.7166666666666667,PKR/g,645.0
Alfatah,SALMAN JAM CHERRY 450 GM,385.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000034040.jpg?v=1719493931,https://alfatah.pk/products/salman-jam-cherry-450-gm,450.0,g,0,450.0,no-pack,0.8555555555555555,PKR/g,385.0
